Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Abu Dhabi Islamic Bank Egypt,Financials,44.30,-1.01%,+48.16%,53.16,28/04
Abu Qir Fertilizers,Basic Materials,90.51,+1.13%,+77.47%,114.21,28/04
Acrow Misr,Industrials,127.52,-,+4.64%,7.02,28/04
Advanced Pharmaceutical Packaging Co.,Industrials,2.33,-,-,0,28/04
Ajwa For Food Industries Company Egypt,Consumer Goods,132.94,+0.51%,+2.95%,2.67,28/04
Al Ahly for Development & Investment,Financials,35.53,-0.36%,+5.12%,0.64,28/04
Al Arafa Investment And Consulting in EGP,Consumer Services,2.22,-,-,0,28/04
Al Baraka Bank Egypt,Financials,21.81,-0.86%,+41.72%,15.85,28/04
"Al Fanar Contracting, Construction, Trade, Import And Export",Industrials,3.17,-1.86%,-3.65%,0.05,06/01
Al Khair River For Development Agricultural Investment,Consumer Goods,0.37,+5.71%,-41.27%,0.73,28/04
Al Moasher For Programming And Information Dissemination,Technology,2.99,+1.01%,-2.29%,0.08,06/01
Al Orouba Securities Brokerage,Financials,1.28,-,+9.40%,0.03,28/04
Al Tawfeek Leasing Company - A.T.Lease,Financials,4.72,-0.42%,+14.56%,1.88,28/04
Alexandria Cement,Industrials,5.96,-,-,2.73,28/04
Alexandria Co for Pharmaceutical and Chemical Industries,Health Care,893.49,+1.70%,+11.63%,4.46,28/04
Alexandria Containers And Goods,Industrials,29.80,+0.34%,+21.73%,88.78,28/04
Alexandria Flour Mills,Consumer Goods,67.19,-1.48%,+7.95%,2.21,28/04
Alexandria Mineral Oils Company,Basic Materials,8.40,+0.60%,+21.21%,10.84,28/04
Alexandria National Company For Financial Investments,Financials,148.10,-7.63%,+83.43%,0.77,27/04
Alexandria New Medical Center,Health Care,38.80,-37.94%,-29.60%,4.83,28/04
Alexandria Spinning & Weaving (SPINALEX),Consumer Goods,14.36,-1.03%,+43.74%,5.18,28/04
Ameco Medical Industries,Health Care,17.51,-,-,0,10/08
Amer Group Holding,Financials,2.12,-0.47%,-6.19%,1.91,28/04
Arab Aluminum,Basic Materials,20.68,-0.67%,-2.45%,0.87,28/04
