Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Abu Dhabi Islamic Bank Egypt,Financials,39.89,-2.47%,+33.41%,47.86,24/03
Abu Qir Fertilizers,Basic Materials,94.00,+8.05%,+84.31%,118.61,24/03
Acrow Misr,Industrials,127.52,-,+4.64%,7.02,24/03
Advanced Pharmaceutical Packaging Co.,Industrials,2.33,-,-,0,24/03
Ajwa For Food Industries Company Egypt,Consumer Goods,114.89,-1.41%,-11.03%,2.3,24/03
Al Ahly for Development & Investment,Financials,34.39,+3.58%,+1.75%,0.61,24/03
Al Arafa Investment And Consulting in EGP,Consumer Services,2.22,-,-,0,24/03
Al Baraka Bank Egypt,Financials,18.92,+0.42%,+22.94%,13.75,24/03
"Al Fanar Contracting, Construction, Trade, Import And Export",Industrials,3.17,-1.86%,-3.65%,0.05,06/01
Al Khair River For Development Agricultural Investment,Consumer Goods,0.63,+1.61%,-,1.25,24/03
Al Moasher For Programming And Information Dissemination,Technology,2.99,+1.01%,-2.29%,0.08,06/01
Al Orouba Securities Brokerage,Financials,1.17,-,-,0.03,24/03
Al Tawfeek Leasing Company - A.T.Lease,Financials,5.50,+7.84%,+33.50%,2.2,24/03
Alexandria Cement,Industrials,5.96,-,-,2.73,24/03
Alexandria Co for Pharmaceutical and Chemical Industries,Health Care,804.07,-0.19%,+0.46%,4.01,24/03
Alexandria Containers And Goods,Industrials,32.91,+7.51%,+34.44%,98.05,24/03
Alexandria Flour Mills,Consumer Goods,57.00,-0.04%,-8.42%,1.87,24/03
Alexandria Mineral Oils Company,Basic Materials,8.75,-0.23%,+26.26%,11.3,24/03
Alexandria National Company For Financial Investments,Financials,99.33,-0.83%,+23.02%,0.51,24/03
Alexandria New Medical Center,Health Care,46.00,+0.63%,-16.53%,5.73,24/03
Alexandria Spinning & Weaving (SPINALEX),Consumer Goods,13.99,+1.08%,+40.04%,5.04,24/03
Ameco Medical Industries,Health Care,17.51,-,-,0,10/08
Amer Group Holding,Financials,1.84,+0.55%,-18.58%,1.66,24/03
Arab Aluminum,Basic Materials,20.06,-2.10%,-5.38%,0.85,24/03
Arab Ceramic,Industrials,1.07,-,-15.75%,1.15,24/03
Arab Company for Asset Management And Development,Financials,1.89,-,+9.88%,2.5,24/03
Arab Developers Holding,Consumer Services,0.24,+4.35%,+14.29%,3.37,24/03
Arab Drug Company for Pharmaceuticals and Chemical,Health Care,149.54,+0.03%,-30.72%,1.79,24/03
Arab Engineering Industries,Industrials,1.84,+1.10%,-21.03%,0.4,24/03
Arab Moltaka Investments Co.,Financials,5.51,-,+14.08%,2.81,24/03
Arab Polvara Spinning And Weaving,Consumer Goods,8.15,-0.24%,-9.24%,0.76,24/03
Arab Real Estate Investment Co.,Financials,2.61,+7.85%,-11.22%,0.64,24/03
Arab Valves Company,Industrials,7.68,-1.16%,-5.88%,0.57,24/03
Arabia Cotton Ginning,Consumer Goods,7.88,-0.13%,-12.05%,2.08,24/03
Arabia Investments Development Financial Investments Holding,Financials,0.33,-,-2.94%,0.51,24/03
Arabian Cement Company,Industrials,46.86,-0.89%,-7.76%,17.74,24/03
Arabian Food Industries(DOMTY),Consumer Goods,24.01,+0.04%,-7.72%,6.78,24/03
Asek Company For Mining - Ascom,Basic Materials,42.52,+4.50%,-2.01%,2.12,24/03
Aspire Capital Holding For Financial Investments,Financials,0.29,-,-9.38%,0.57,24/03
Assiut Islamic National Trade and Development,Industrials,28.08,-,-,0.18,24/03
Atlas For Land Reclamation And Agricultural Processing,Consumer Goods,1.67,-1.18%,-53.35%,1.08,24/03
Beltone Capital Holding For Financial Investments,Financials,19.25,-0.41%,+16.17%,3.08,15/08
Beltone Financial Holding,Financials,2.91,-,-14.91%,31.19,24/03
Brothers Solidarity For Real Estate Investment And Food Security,Financials,1.55,-4.91%,-16.67%,0,10/08
Cairo Development and Investment,Financials,17.42,-0.91%,+0.29%,10.15,24/03
Cairo Educational Services,Consumer Services,53.89,-0.46%,-18.75%,0.64,24/03
Cairo For Investment And Real Estate Development,Financials,,,,,
Cairo Oils & Soap,Consumer Goods,1.34,+0.75%,-13.55%,0.83,24/03
Cairo Pharmaceuticals and Chemical Industries,Health Care,249.76,-1.09%,-5.78%,3.73,24/03
Cairo Poultry,Consumer Goods,32.50,+2.85%,+26.21%,15.56,24/03
Canal Shipping Agencies,Industrials,28.89,+3.18%,-17.13%,8.66,24/03
Ceramic & Porcelain,Consumer Goods,15.18,-0.20%,-5.71%,0.76,24/03
CI Capital Holding for Financial Investments,Financials,10.85,+1.88%,+19.23%,10.85,24/03
Cleopatra Hospital,Health Care,12.54,-1.26%,-5.00%,18.17,24/03
Commercial International Bank (Egypt),Financials,124.10,-4.32%,+20.49%,419.2,24/03
Contact Financial Holding,Financials,3.75,-,-,4.48,24/03
Copper For Commercial Investment & Real Estate Development,Financials,0.31,-3.13%,-6.06%,0.16,24/03
Credit Agricole Egypt,Financials,22.69,-2.37%,+1.02%,28.36,24/03
Delta Co for Printing and Packaging,Industrials,103.23,-1.73%,-13.92%,0.57,24/03
Delta Construction & Rebuilding,Financials,23.05,-,-,0.53,24/03
Delta Insurance,Financials,11.38,-,-,1.42,24/03
Delta Sugar,Consumer Goods,48.70,+2.25%,+3.20%,6.92,24/03
Development & Engineering Consultants,Industrials,74.56,-0.24%,-16.05%,1.75,24/03
Dice Sport & Casual Wear,Consumer Goods,1.77,-1.67%,-,4.74,24/03
E-finance For Digital and Financial Investments,Technology,18.48,-0.86%,-0.05%,64.06,24/03
East Delta Flour Mills,Consumer Goods,298.20,+0.06%,-3.67%,1.78,24/03
Eastern Tobacco,Consumer Goods,36.41,+1.45%,-1.86%,109.23,24/03
Edita Food Industries,Consumer Goods,28.15,+1.44%,+2.36%,39.41,24/03
EFG Hermes Holding Company,Financials,26.11,-1.02%,+4.78%,37.49,24/03
Egx 30 Index Etf,Financials,8.95,+0.56%,+18.70%,0,10/08
Egypt Aluminum Company,Basic Materials,295.10,-3.28%,+25.31%,121.72,24/03
Egypt For Poultry,Consumer Goods,8.39,+3.33%,+24.11%,0.35,24/03
Egypt Free Shops,Consumer Services,31.00,-,-9.57%,2.9,24/03
Egypt Gas Company,Utilities,41.93,+0.70%,-5.26%,6.04,24/03
Egypt Intercontinental for Granite and Marble,Industrials,5.01,+0.20%,+0.20%,0,10/08
Egypt-South Africa For Communication,Telecom,0.99,-1.00%,+59.68%,0,10/08
Egyptian Arabian Company Themar for Securities Brokerage,Financials,2.95,-0.67%,-18.96%,0.29,24/03
Egyptian Chemical Industries (Kima),Basic Materials,12.02,+3.18%,-3.76%,23.87,24/03
Egyptian Company for International Touristic Projects,Consumer Services,13.76,-,-,5.5,24/03
Egyptian Financial & Industrial,Basic Materials,222.76,+2.13%,-0.30%,22.27,24/03
Egyptian For Developing Building Materials,Industrials,0.71,-,-,0.39,24/03
Egyptian For Tourism Resorts,Consumer Services,7.39,+1.09%,-9.33%,7.76,24/03
Egyptian Gulf Bank,Financials,0.39,-,+25.81%,10.31,24/03
Egyptian International Pharmaceuticals Industries,Health Care,78.90,-1.37%,+1.81%,13.31,24/03
Egyptian Iron & Steel,Basic Materials,30.99,-0.19%,-11.48%,30.27,24/03
Egyptian Kuwait Holding,Financials,0.67,-,-16.25%,26.52,30/11
Egyptian Media Production City,Consumer Services,27.41,+2.01%,-3.82%,5.19,24/03
Egyptian Modern Education Systems,Consumer Services,0.85,-2.30%,-,0.85,24/03
Egyptian Satellites (NileSat),Telecom,7.47,-,+9.37%,14.59,24/03
Egyptian Starch & Glucose,Consumer Goods,9.38,-,-,0.47,24/03
Egyptian Transport & Commercial Services,Industrials,7.40,+0.82%,-8.07%,1.66,24/03
Egyptians Abroad For Investment & Development,Financials,2.67,-,+2.69%,0.13,28/08
Egyptians for Housing Development,Financials,2.10,+0.48%,-16.33%,1.41,24/03
Egyptians For Investment & Urban Development,Financials,0.73,-2.67%,+8.96%,1.19,08/02
El Ahram Co. For Printing And Packing,Industrials,13.57,+4.06%,+16.78%,0.11,24/03
El Arabia For Land Reclamation,Financials,348.93,-2.93%,-5.91%,1.81,24/03
El Badr Plastic,Industrials,0.62,-,-10.14%,0,10/08
El Barbary Investment Group (BIG),Consumer Goods,0.14,-99.54%,-6.67%,0.04,06/01
El Dawlia Fertilizers And Chemicals,Basic Materials,16.36,+2.25%,+15.13%,1.91,24/03
El Ebour Real Estate Investment,Financials,36.50,+0.77%,-4.35%,1.46,24/03
El Ezz Aldekhela Steel - Alexandria,Basic Materials,"1,251.00",-,-,24.4,24/03
El Ezz Ceramics & Porcelain (Gemma),Industrials,26.02,+0.27%,-17.37%,1.38,24/03
El Kahera El Watania Investment,Financials,55.02,-1.47%,-24.97%,0.57,24/03
El Kahera Housing,Financials,1.10,-,-57.69%,2.04,24/03
El Nasr Clothes & Textiles - KABO,Consumer Goods,5.98,-1.16%,-6.56%,3.37,24/03
El Nasr For Manufacturing Agricultural Crops,Consumer Goods,37.96,-1.94%,-5.38%,0.29,24/03
El Nasr Transformers (El Maco),Industrials,16.00,-,-,0.63,24/03
El Saeed Contracting and Real Estate Investment,Industrials,1.34,-,-10.67%,0.97,24/03
El Sewedy Electric Company,Industrials,78.62,+0.11%,+0.47%,168.3,24/03
El Shams Housing & Urbanization,Financials,7.16,+1.42%,-14.46%,1.62,24/03
El Shams Pyramids For Hotels & Touristic Projects,Consumer Services,1.91,-,-,4.46,24/03
El Wadi Touristic Development,Consumer Services,1.66,+1.84%,+49.55%,0.3,24/03
El-Nile Co. For Pharmaceuticals And Chemical Industries,Health Care,96.03,-1.33%,-4.18%,4.8,24/03
Electro Cable Egypt Company,Industrials,2.09,-0.48%,-32.80%,6.92,24/03
Emaar Misr For Development,Financials,9.13,+0.33%,-5.88%,49.73,24/03
Engineering Industries (Icon),Basic Materials,31.83,-1.70%,-4.24%,4.63,24/03
Export Development Bank Of Egypt,Financials,16.23,-0.73%,+5.39%,22.07,24/03
Extracted Oils & Derivatives,Consumer Goods,8.70,+0.69%,+0.81%,1.74,24/03
Ezz Steel,Basic Materials,133.90,-,+16.54%,72.62,14/04
Faisal Islamic Bank Of Egypt (EGP),Financials,34.00,-0.41%,+6.02%,7.68,24/03
Faisal Islamic Bank Of Egypt (USD),Financials,1.02,-,+3.03%,22,24/03
Fawry for Banking Technology and Electronic Payment,Technology,17.18,-2.39%,+6.58%,58.52,24/03
Ferchem Misr Company for Fertilizers and Chemicals,Basic Materials,80.00,+3.04%,-3.05%,32,24/03
First Investment And Real Estate Development,Financials,2.26,-1.74%,+6.10%,0.03,06/01
Gadwa For Industrial Development,Financials,0.77,-,-23.00%,4.14,24/03
GB Auto,Consumer Goods,24.81,-0.44%,-8.11%,26.93,24/03
General Co for Land Reclamation Development and Reconstruction,Industrials,162.80,-0.13%,-11.22%,1.06,24/03
General Company for Paper Industry Rakta,Industrials,25.88,+3.48%,+13.46%,0.77,24/03
General Company for Silos and Storage,Industrials,221.25,-,-7.38%,3.87,24/03
Genial Tours,Consumer Services,3.42,-3.12%,+35.71%,0,10/08
Gharbia Islamic Housing Development,Financials,38.24,+3.94%,-12.73%,0.21,24/03
Giza General Contracting,Financials,0.55,-3.51%,-15.38%,0.79,24/03
Glaxo Smith Kline,Health Care,60.39,-1.45%,-5.12%,5.04,24/03
Global Telecom Holding,Telecom,4.90,-,-,23.13,24/03
"GMC Group For Industrial, Commercial And Financial Investments",Financials,1.59,-1.24%,-14.05%,0.06,24/03
Golden Coast Company,Consumer Services,2.79,-,-,0.47,24/03
Golden Pyramids Plaza,Consumer Services,1.40,-,-1.41%,38.01,24/03
Golden Textiles & Clothes Wool,Consumer Goods,42.01,-0.17%,-12.15%,0.6,24/03
Grand Investment Capital,Financials,54.55,-2.15%,+81.29%,0.42,24/03
Gulf Arab Investment,Financials,0.29,-,+11.54%,0,10/08
Gulf Canadian Real Estate Investment Co.,Financials,1.47,+8.09%,-18.33%,0.3,24/03
Heliopolis Housing,Financials,5.90,+3.87%,+63.89%,23.63,24/03
Housing & Development Bank,Financials,115.34,+0.74%,+28.64%,61.28,24/03
Ibnsina Pharma,Health Care,10.33,-0.67%,-11.86%,10.41,24/03
Indus & Engineer,#N/A,8.74,+0.34%,-3.85%,0,10/08
Integrated Diagnostics Holdings,Health Care,20.00,-,-,12,24/03
Integrated Engineering Group Sae,Industrials,0.20,-,+11.11%,0.05,06/01
Inter-Cairo For Aluminum Industry,Basic Materials,1.00,-,-,0,24/03
International Agricultural Products,Consumer Goods,19.90,+0.66%,+5.57%,9.89,24/03
International Business Corporation For Trade And Franchise,Consumer Goods,2.96,-4.21%,-2.31%,0.07,06/01
International Co For Investment & Development,Financials,3.64,+0.55%,-22.22%,0.36,24/03
International Company For Leasing (Incolease),Financials,15.76,-,-61.56%,0.8,24/03
International Company For Medical Industries,Health Care,2.63,+2.33%,+2.73%,0.15,06/01
International Dry Ice,Basic Materials,2.56,+0.39%,+8.94%,0,10/08
International Printing & Packaging Materials Co.,Industrials,1.00,-,-,0,24/03
Iron and Steel for Mines and Quarries,Basic Materials,7.19,-0.55%,+2.28%,7.02,24/03
Ismailia Development And Real Estate,Financials,33.90,+0.59%,-16.73%,1.24,24/03
Ismailia Misr Poultry,Consumer Goods,13.29,+2.55%,-3.70%,1.19,24/03
Ismailia National Food Industries,Consumer Goods,87.30,-0.92%,-31.26%,1.77,24/03
IT Synergy,Technology,5.00,-,-,0,12/01
Juhayna Food Industries,Consumer Goods,25.80,-2.97%,+2.06%,30.36,24/03
Kafr El Zayat Pesticides and Chemicals,Basic Materials,9.94,+1.02%,-2.55%,2.38,24/03
Lakah Group,Industrials,0.49,-2.00%,+6.52%,0,10/08
Lecico Egypt,Industrials,23.74,-0.34%,-7.19%,1.89,24/03
Macro Group Pharmaceuticals,Health Care,1.35,-0.74%,+18.42%,0.77,24/03
Mansoura Poultry,Consumer Goods,1.55,+1.97%,-8.28%,1.55,24/03
Maridive & Oil Services,Oil & Gas,0.41,-2.38%,-12.77%,10.16,24/03
Marsa Marsa Alam For Tourism Development,Consumer Services,3.37,-,+15.41%,0.16,24/03
Marseille Almasreia Alkhalegeya For Holding Investment,Financials,4.43,+0.23%,+4.98%,0.92,24/03
MB Engineering,Industrials,3.72,+4.79%,+644.00%,0,10/08
Medical Packaging Company,Industrials,1.51,-0.66%,-19.25%,0.98,24/03
Medinet Nasr Housing,Financials,3.40,-1.73%,+4.62%,7.14,14/08
Memphis Pharmaceuticals,Health Care,157.12,-0.39%,+0.59%,3.57,24/03
Mena Touristic & Real Estate Investment,Financials,4.66,+1.08%,-2.71%,1.12,24/03
Middle & West Delta Flour Mills,Consumer Goods,499.72,-,+4.15%,3.74,24/03
Middle East Glass Manufacturing,Industrials,43.92,-,-,0.64,24/03
Middle Egypt Flour Mills,Consumer Goods,85.03,-,-17.12%,1.25,24/03
Minapharm Pharmaceuticals,Health Care,468.01,-1.98%,+34.02%,5.51,24/03
Misr Beni Suef Cement,Industrials,270.08,-0.97%,+1.15%,14.86,24/03
Misr Cement (Qena),Industrials,175.89,-1.19%,+2.87%,16.88,24/03
Misr Chemical Industries,Basic Materials,37.22,+7.88%,+28.43%,4.08,24/03
Misr Elsalam For Development & Advanced Technology,Financials,1.00,-,-,0,18/05
Misr Fertilizers Production Company,Basic Materials,45.52,+5.39%,+49.25%,130.55,24/03
Misr Financial Investments,Financials,1.00,-,-,0,24/03
Misr Hotels,Consumer Services,25.50,-1.05%,-0.93%,10.09,24/03
Misr Kuwait Investment And Trading (Meatello),Consumer Goods,5.53,-,-,0.11,06/01
Misr National Steel - Ataqa,Basic Materials,8.21,-0.48%,-18.47%,9.85,24/03
Misr Oils & Soap,Consumer Goods,153.00,-2.72%,-15.88%,0.91,24/03
Misr Refrigeration and Air Conditioning,Industrials,119.16,-,-,1.78,24/03
MM Group For Industry And International Trade,Consumer Services,7.67,-0.65%,+6.53%,14.48,24/03
